word_category,clamp_value,mean_logit,std_logit,median_logit,num_words,num_prompts,total_observations
casual_high_emotion,-4.0,-2.900820863246918,3.2918792482799595,-3.550108790397644,8,5,40
casual_high_emotion,0.0,-2.9008200712502004,3.291880568542498,-3.550106406211853,8,5,40
casual_high_emotion,1.0,-2.900820630043745,3.2918818203993974,-3.5501068830490112,8,5,40
casual_high_emotion,4.0,-2.900821529328823,3.291882803984486,-3.550108790397644,8,5,40
casual_low_emotion,-4.0,-3.840389447659254,3.105613096977449,-4.036122918128967,8,5,40
casual_low_emotion,0.0,-3.840403972566128,3.1056197621745922,-4.0361106395721436,8,5,40
casual_low_emotion,1.0,-3.8404084973037245,3.105621612448076,-4.036111831665039,8,5,40
casual_low_emotion,4.0,-3.8404200725257396,3.1056268554216917,-4.036105632781982,8,5,40
formal_high_emotion,-4.0,-6.24946224540472,3.134852425274702,-6.376469373703003,8,5,40
formal_high_emotion,0.0,-6.249465590715408,3.134851985088965,-6.376470565795898,8,5,40
formal_high_emotion,1.0,-6.249466924369335,3.134852048170716,-6.376477003097534,8,5,40
formal_high_emotion,4.0,-6.249470482766628,3.1348530515026836,-6.376478433609009,8,5,40
formal_low_emotion,-4.0,-3.116107667982578,3.1890683854951827,-3.5215771198272705,8,5,40
formal_low_emotion,0.0,-3.1161060631275177,3.1890660578404124,-3.521596074104309,8,5,40
formal_low_emotion,1.0,-3.1161057695746424,3.189066212158705,-3.5216017961502075,8,5,40
formal_low_emotion,4.0,-3.1161056004464625,3.1890649032622913,-3.521617889404297,8,5,40
