word_category,clamp_value,effect_size,baseline_logit
casual_high_emotion,-4.0,-7.919967175418208e-07,-2.9008200712502004
casual_high_emotion,0.0,0.0,-2.9008200712502004
casual_high_emotion,1.0,-5.587935447692871e-07,-2.9008200712502004
casual_high_emotion,4.0,-1.4580786227291753e-06,-2.9008200712502004
casual_low_emotion,-4.0,1.4524906873703003e-05,-3.840403972566128
casual_low_emotion,0.0,0.0,-3.840403972566128
casual_low_emotion,1.0,-4.524737596600659e-06,-3.840403972566128
casual_low_emotion,4.0,-1.6099959611715065e-05,-3.840403972566128
formal_high_emotion,-4.0,3.345310688018799e-06,-6.249465590715408
formal_high_emotion,0.0,0.0,-6.249465590715408
formal_high_emotion,1.0,-1.3336539268493652e-06,-6.249465590715408
formal_high_emotion,4.0,-4.892051220117821e-06,-6.249465590715408
formal_low_emotion,-4.0,-1.604855060399757e-06,-3.1161060631275177
formal_low_emotion,0.0,0.0,-3.1161060631275177
formal_low_emotion,1.0,2.9355287534116314e-07,-3.1161060631275177
formal_low_emotion,4.0,4.626810552466054e-07,-3.1161060631275177
