word_category,clamp_value,mean_logit,std_logit,median_logit,num_words,num_prompts,total_observations
casual_high_emotion,-4.0,-2.9008373610675333,3.291900683860957,-3.550141215324402,8,5,40
casual_high_emotion,0.0,-2.9008252494037152,3.291886226634541,-3.5501195192337036,8,5,40
casual_high_emotion,1.0,-2.900820630043745,3.2918818203993974,-3.5501068830490112,8,5,40
casual_high_emotion,4.0,-2.90080808326602,3.2918686765805942,-3.5500688552856445,8,5,40
casual_low_emotion,-4.0,-3.840453203767538,3.1056427703587026,-4.03596830368042,8,5,40
casual_low_emotion,0.0,-3.84041647836566,3.10562508655501,-4.0360740423202515,8,5,40
casual_low_emotion,1.0,-3.8404084973037245,3.105621612448076,-4.036111831665039,8,5,40
casual_low_emotion,4.0,-3.840385990589857,3.1056123845067134,-4.036229372024536,8,5,40
formal_high_emotion,-4.0,-6.249483232200146,3.134862412349149,-6.376477003097534,8,5,40
formal_high_emotion,0.0,-6.249469833076001,3.1348512891897977,-6.376477003097534,8,5,40
formal_high_emotion,1.0,-6.249466924369335,3.134852048170716,-6.376477003097534,8,5,40
formal_high_emotion,4.0,-6.249465195834636,3.1348617135028602,-6.376477003097534,8,5,40
formal_low_emotion,-4.0,-3.1161109134554863,3.1890952054371735,-3.52118980884552,8,5,40
formal_low_emotion,0.0,-3.1161050722002983,3.1890706664765713,-3.5215132236480713,8,5,40
formal_low_emotion,1.0,-3.1161057695746424,3.189066212158705,-3.5216017961502075,8,5,40
formal_low_emotion,4.0,-3.1161124512553213,3.1890553905879835,-3.521883010864258,8,5,40
