word_category,clamp_value,effect_size,baseline_difference
casual_high_emotion,-15.0,-1.1515617370605468e-05,0.0
casual_high_emotion,1.0,0.0,0.0
casual_high_emotion,4.0,1.2546777725219727e-05,0.0
casual_high_emotion,15.0,0.00012077093124389649,0.0
casual_low_emotion,-15.0,-0.0001724421977996826,0.0
casual_low_emotion,1.0,0.0,0.0
casual_low_emotion,4.0,2.25067138671875e-05,0.0
casual_low_emotion,15.0,0.00012029707431793213,0.0
formal_high_emotion,-15.0,-6.501674652099609e-05,0.0
formal_high_emotion,1.0,0.0,0.0
formal_high_emotion,4.0,1.7285346984863281e-06,0.0
formal_high_emotion,15.0,-0.00011774301528930665,0.0
formal_low_emotion,-15.0,-2.9009580612182617e-05,0.0
formal_low_emotion,1.0,0.0,0.0
formal_low_emotion,4.0,-6.681680679321289e-06,0.0
formal_low_emotion,15.0,-1.2254714965820312e-05,0.0
